Year,URL,Type of League
1914,https://www.baseball-almanac.com/yearly/yr1914f.shtml,Federal League
1915,https://www.baseball-almanac.com/yearly/yr1915f.shtml,Federal League
1890,https://www.baseball-almanac.com/yearly/yr1890p.shtml,Federal League
1884,https://www.baseball-almanac.com/yearly/yr1884u.shtml,Union Association
1882,https://www.baseball-almanac.com/yearly/yr1882a.shtml,American Association
1883,https://www.baseball-almanac.com/yearly/yr1883a.shtml,American Association
1884,https://www.baseball-almanac.com/yearly/yr1884a.shtml,American Association
1885,https://www.baseball-almanac.com/yearly/yr1885a.shtml,American Association
1886,https://www.baseball-almanac.com/yearly/yr1886a.shtml,American Association
1887,https://www.baseball-almanac.com/yearly/yr1887a.shtml,American Association
1888,https://www.baseball-almanac.com/yearly/yr1888a.shtml,American Association
1889,https://www.baseball-almanac.com/yearly/yr1889a.shtml,American Association
1890,https://www.baseball-almanac.com/yearly/yr1890a.shtml,American Association
1891,https://www.baseball-almanac.com/yearly/yr1891a.shtml,American Association
