Year,Statistic,Player,Team,Value
2017,Wins,Corey Kluber,Cleveland Indians,18.0
2017,Wins,Jason Vargas,Kansas City Royals,18.0
2018,Complete Games,Jose Berrios,Minnesota Twins,2.0
2018,Complete Games,Carlos Carrasco,Cleveland Indians,2.0
2018,Complete Games,Corey Kluber,Cleveland Indians,2.0
2018,Complete Games,James Paxton,Seattle Mariners,2.0
2018,ERA,Blake Snell,Tampa Bay Rays,1.89
2018,Games,Ryan Pressly,Minnesota Twins,77.0
2018,Games,Ryan Pressly,Houston Astros,77.0
2018,Saves,Edwin Diaz,Seattle Mariners,57.0
2018,Shutouts,Jose Berrios,Minnesota Twins,1.0
2018,Shutouts,Mike Clevinger,Cleveland Indians,1.0
2018,Shutouts,Gerrit Cole,Houston Astros,1.0
2018,Shutouts,Andrew Heaney,Los Angeles Angels,1.0
2018,Shutouts,Corey Kluber,Cleveland Indians,1.0
2018,Shutouts,Sean Manaea,Oakland Athletics,1.0
2018,Shutouts,Daniel Mengden,Oakland Athletics,1.0
2018,Shutouts,James Paxton,Seattle Mariners,1.0
2018,Shutouts,Luis Severino,New York Yankees,1.0
2018,Shutouts,Masahiro Tanaka,New York Yankees,1.0
2018,Shutouts,Justin Verlander,Houston Astros,1.0
2018,Strikeouts,Justin Verlander,Houston Astros,290.0
2018,Winning Percentage,Charlie Morton,Houston Astros,0.833
2018,Wins,Blake Snell,Tampa Bay Rays,21.0
2019,Complete Games,Shane Bieber,Cleveland Indians,3.0
2019,Complete Games,Lucas Giolito,Chicago White Sox,3.0
2019,ERA,Gerrit Cole,Houston Astros,2.5
2019,Games,Yusmeiro Petit,Oakland Athletics,80.0
2019,Saves,Roberto Osuna,Houston Astros,38.0
2019,Shutouts,Shane Bieber,Cleveland Indians,2.0
2019,Shutouts,Lucas Giolito,Chicago White Sox,2.0
2019,Strikeouts,Gerrit Cole,Houston Astros,326.0
2019,Winning Percentage,Gerrit Cole,Houston Astros,0.8
2019,Wins,Justin Verlander,Houston Astros,21.0
2020,Complete Games,Gerrit Cole,New York Yankees,2.0
2020,ERA,Shane Bieber,Cleveland Indians,1.63
2020,Games,Scott Barlow,Kansas City Royals,32.0
2020,Saves,Brad Hand,Cleveland Indians,16.0
2020,Shutouts,Gerrit Cole,New York Yankees,1.0
2020,Shutouts,Kyle Gibson,Texas Rangers,1.0
2020,Shutouts,Lucas Giolito,Chicago White Sox,1.0
2020,Shutouts,Brad Keller,Kansas City Royals,1.0
2020,Shutouts,Mike Minor,Oakland Athletics,1.0
2020,Strikeouts,Shane Bieber,Cleveland Indians,122.0
2020,Winning Percentage,Shane Bieber,Cleveland Indians,0.889
2020,Wins,Shane Bieber,Cleveland Indians,8.0
2021,Complete Games,Gerrit Cole,New York Yankees,2.0
2021,Complete Games,Sean Manaea,Oakland Athletics,2.0
2021,ERA,Robbie Ray,Toronto Blue Jays,2.84
2021,Games,Bryan Shaw,Cleveland Indians,81.0
2021,Saves,Liam Hendriks,Chicago White Sox,38.0
2021,Shutouts,Sean Manaea,Oakland Athletics,2.0
2021,Strikeouts,Robbie Ray,Toronto Blue Jays,248.0
2021,Winning Percentage,"Lance McCullers, Jr.",Houston Astros,0.722
2021,Wins,Gerrit Cole,New York Yankees,16.0
2022,Complete Games,Framber Valdez,Houston Astros,3.0
2022,ERA,Justin Verlander,Houston Astros,1.75
2022,Games,Adam Cimber,Toronto Blue Jays,77.0
2022,Games,Emmanuel Clase,Cleveland Guardians,77.0
2022,Saves,Emmanuel Clase,Cleveland Guardians,42.0
2022,Shutouts,Dylan Cease,Chicago White Sox,1.0
2022,Shutouts,Nestor Cortes,New York Yankees,1.0
2022,Shutouts,Reid Detmers,Los Angeles Angels,1.0
2022,Shutouts,Nathan Eovaldi,Boston Red Sox,1.0
2022,Shutouts,Dean Kremer,Baltimore Orioles,1.0
2022,Shutouts,Martín Pérez,Texas Rangers,1.0
2022,Shutouts,Patrick Sandoval,Los Angeles Angels,1.0
2022,Shutouts,Framber Valdez,Houston Astros,1.0
2022,Shutouts,Michael Wacha,Boston Red Sox,1.0
2022,Strikeouts,Corbin Burnes,Milwaukee Brewers,243.0
2022,Winning Percentage,Justin Verlander,Houston Astros,0.818
2022,Wins,Justin Verlander,Houston Astros,18.0
2023,Complete Games,Jordan Lyles,Kansas City Royals,3.0
2023,ERA,Gerrit Cole,New York Yankees,2.63
2023,Games,Matt Brash,Seattle Mariners,78.0
2023,Saves,Emmanuel Clase,Cleveland Guardians,44.0
2023,Shutouts,Gerrit Cole,New York Yankees,2.0
2023,Shutouts,Framber Valdez,Houston Astros,2.0
2023,Strikeouts,Kevin Gausman,Toronto Blue Jays,237.0
2023,Winning Percentage,Gerrit Cole,New York Yankees,0.789
2023,Wins,Chris Bassitt,Toronto Blue Jays,16.0
2023,Wins,Zach Eflin,Tampa Bay Rays,16.0
2024,Complete Games,Kevin Gausman,Toronto,2.0
2024,ERA,Tarik Skubal,Detroit,2.39
2024,Games,T.J. McFarland,Oakland,79.0
2024,Saves,Emmanuel Clase,Cleveland,47.0
2024,Shutouts,Ronel Blanco,Houston,1.0
2024,Shutouts,Joey Estes,Oakland,1.0
2024,Shutouts,Kevin Gausman,Toronto,1.0
2024,Shutouts,Tanner Houck,Boston,1.0
2024,Shutouts,Keider Montero,Detroit,1.0
2024,Strikeouts,Tarik Skubal,Detroit,228.0
2024,Winning Percentage,Tarik Skubal,Detroit,0.818
2024,Wins,Tarik Skubal,Detroit,18.0
2025,Complete Games,To Be Determined,--,
2025,ERA,To Be Determined,--,
2025,Games,To Be Determined,--,
2025,Saves,To Be Determined,--,
2025,Shutouts,To Be Determined,--,
2025,Strikeouts,To Be Determined,--,
2025,Winning Percentage,To Be Determined,--,
2025,Wins,To Be Determined,--,
